url,email,phone,reason,qualified
https://luckysconcreteaustin.com/?utm_source=google&utm_medium=local&utm_campaign=gbp,info@luckysconcreteaustin.com,737-530-9902,Non-target industry,False
http://bestblock.com/,jaxorders@Bestblock.com,520-424-2242,Non-target industry,False
https://www.centexmaterials.com/,,78744 512.460.3003,Ready-mix supplier likely needs higher output consistency,True
https://www.smyrnareadymix.com/,info@smyrnareadymix.com,615) 355-1028,Non-target industry,False
https://www.tex-mixconcrete.com/,info@tex-mixconcrete.com,512.759.1438,General concrete supplier,False
https://atxreadymix.com/,,512) 882-0160,Non-target industry,False
http://www.concretecontractoraustin.com/,,,General concrete supplier,False
https://lonestarmaterials.com/,sales@lonestarmaterials.com,,Non-target industry,False
https://www.walmart.com/store/5317-austin-tx/?veh=seo_loc,,,Non-target industry,False
http://www.ausconcrete.com/,,,General concrete supplier,False
https://www.walmart.com/store/2133-austin-tx/?veh=seo_loc,,,Non-target industry,False
https://tjconcretecontractorsaustin.net/,,512) 894-8938,Non-target industry,False
https://kbconcreteconstruct.com/,,,General concrete supplier,False
http://www.acehardware.com/,,1-866-290-5334,Non-target industry,False
https://dallas.cart-awaysupply.com/,,214) 550-4885,Non-target industry,False
http://www.collinsconcrete.com/,info@collinsconcrete.com,972.286.8852,Non-target industry,False
https://www.facebook.com/SupremeReadyMixLLC/,,,Ready-mix supplier likely needs higher output consistency,True
https://www.bt-concrete.com/,info@bigtownconcrete.com,214) 272-3894,General concrete supplier,False
https://www.brothersreadymix.com/,,,General concrete supplier,False
https://www.cowtownrm.com/?utm_source=GBP&utm_medium=gbp&utm_campaign=dallas,,817-759-2599 817-759-2599 817-759-2599,Ready-mix supplier likely needs higher output consistency,True
https://www.martinmarietta.com/locations/southwest/north-texas-ready-mix-district/spangler-road-ready-mix/,,972) 647-6760,Ready-mix supplier likely needs higher output consistency,True
https://www.bigdreadymix.com/,,972) 737-7976,Ready-mix supplier likely needs higher output consistency,True
https://cretexco.com/,,469) 475-3764,General concrete supplier,False
https://www.facebook.com/SupremeReadyMixLLC,,,Ready-mix supplier likely needs higher output consistency,True
https://capaconcrete.com/,Capaconcrete@gmail.com,469) 343-5242,Non-target industry,False
http://www.werockdallas.com/,info@werockdallas.com,972-243-5820,Non-target industry,False
https://www.readymixdallastx.com/,contact@readymixdallastx.com,469) 523-3448,Non-target industry,False
https://www.amconco.com/,,402-331-5775,General concrete supplier,False
http://reliableconcretedallas.com/,reliableconcretedallas@gmail.com,214-752-8277,Ready-mix supplier likely needs higher output consistency,True
https://www.martinmarietta.com/locations/southwest/north-texas-ready-mix-district/corinth-ready-mix/,,972) 647-6760,Ready-mix supplier likely needs higher output consistency,True
https://jchavezconcretellc.com/,,,General concrete supplier,False
http://luckysconcretedallas.com/?utm_source=google&utm_medium=local&utm_campaign=gbp,info@luckysconcretedallas.com,469-727-7120,Non-target industry,False
https://www.martinmarietta.com/locations/southwest/north-texas-oklahoma-district/dallas-yard-and-sand-plant/,,972) 647-6789,Ready-mix supplier likely needs higher output consistency,True
http://www.vulcanmaterials.com/,,205) 298-3000,General concrete supplier,False
https://www.martinmarietta.com/locations/southwest/ctm-district/ctm/,,972) 409-3240,Ready-mix supplier likely needs higher output consistency,True
https://web.dallasbuilders.org/EXTERIOR-CLADDING/Gartex-Masonry-Supply-Inc-4972,info@dallasbuilders.com,214-343-0571,General concrete supplier,False
https://locations.eatandys.com/ll/US/TX/Dallas/9655-Audelia-Road,,,General concrete supplier,False
http://iveylumberdallas.com/,,214) 341-6570,General concrete supplier,False
https://www.formaxxconcrete.com/,,713-987-4346,General concrete supplier,False
https://u-needconcrete.com/our-company/,ask@u-needconcrete.com,281-407-1409,Non-target industry,False
https://argostoliconcretecontractors.com/,,77015 (832) 558-8680,Non-target industry,False
https://www.heidelbergmaterials.us/?utm_source=gmb&utm_medium=website&utm_campaign=brand,,,Ready-mix supplier likely needs higher output consistency,True
https://www.cemexusa.com/-/houston-ellington-ready-mix-concrete-plant?utm_source=gmb&utm_medium=organic&utm_campaign=USA_US_RMX_ACQ_UBERALL,,505000420194720461-280194728597195395,General concrete supplier,False
https://concreteprosreadymix.com/,,713) 731 7225,Ready-mix supplier likely needs higher output consistency,True
http://www.texaslehigh.com/,,512-295-6111,Non-target industry,False
http://texasconcretereadymix.com/,,713-255-3333,Non-target industry,False
https://argos-us.com/locations/mykawa/,,1-713-273-2800,Ready-mix supplier likely needs higher output consistency,True
https://alleytonresource.net/ready-mix-concrete/,,281-238-1010,Ready-mix supplier likely needs higher output consistency,True
http://www.alldayconcreteinc.com/,dispatch@alldayconcrete.com,713-987-0741,Ready-mix supplier likely needs higher output consistency,True
http://www.rhinoreadymix.com/,matt@rhinoreadymix.com,713-360-6250,Ready-mix supplier likely needs higher output consistency,True
http://www.metroreadymix.net/,,713-991-6466,Ready-mix supplier likely needs higher output consistency,True
http://lopezconcretechipping.com/,,832-420-7681,Non-target industry,False
https://www.holcim.us/,,,Non-target industry,False
http://www.southbeltinc.com/,sales@southbeltinc.com,713-645-9099,Non-target industry,False
http://scctx.com/,,1.2.251840900,Ready-mix supplier likely needs higher output consistency,True
https://www.facebook.com/OnTimeConcreteReadyMix,,,Ready-mix supplier likely needs higher output consistency,True
http://texconreadymix.com/,jobs@texconreadymix.com,713-804-5880,Non-target industry,False
https://www.cemexusa.com/-/houston-rothwell-ready-mix-concrete-plant?utm_source=gmb&utm_medium=organic&utm_campaign=USA_US_RMX_ACQ_UBERALL,,505000420194720461-198979499780016776,General concrete supplier,False
https://www.crazyhorseconcrete.com/,,281-235-3978,Ready-mix supplier likely needs higher output consistency,True
https://argos-us.com/locations/fulton-12/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,1-713-273-2800,Ready-mix supplier likely needs higher output consistency,True
http://www.texconreadymix.com/,jobs@texconreadymix.com,713-804-5880,Non-target industry,False
https://www.cemexusa.com/-/humble-ready-mix-concrete-plant?utm_source=gmb&utm_medium=organic&utm_campaign=USA_US_RMX_ACQ_UBERALL,,505000420194720461-300979363832728196,General concrete supplier,False
http://luckysconcretehouston.com/#contact?utm_source=google&utm_medium=local&utm_campaign=gbp,info@luckysconcretehouston.com,713-574-4644,Non-target industry,False
https://www.cemexusa.com/,,505000420194720461-376272335259896453,General concrete supplier,False
https://www.cemexusa.com/-/houston-englewood-ready-mix-concrete-plant?utm_source=gmb&utm_medium=organic&utm_campaign=USA_US_RMX_ACQ_UBERALL,,505000420194720461-341084763420428938,General concrete supplier,False
https://penasconcrete.com/,pcdi@penasconcrete.com,713-401-9581,General concrete supplier,False
https://www.cemexusa.com/-/houston-cement-terminal?utm_source=gmb&utm_medium=organic&utm_campaign=USA_US_CEM_ACQ_UBERALL,,505000420194720461-317400153381735049,General concrete supplier,False
http://www.argos-us.com/,,678) 368-4300,Non-target industry,False
https://www.cemexusa.com/-/houston-holmes-ready-mix-concrete-plant?utm_source=gmb&utm_medium=organic&utm_campaign=USA_US_RMX_ACQ_UBERALL,,505000420194720461-198983051717970568,General concrete supplier,False
https://www.txdurarock.com/,,713) 731-5256,Non-target industry,False
https://goldenstones.com/,sales@goldenstones.com,713) 934-7887,General concrete supplier,False
https://acihoustonchapter.org/,,,Non-target industry,False
